model_label,model_key,sigma_m_cm2_g,r_s_kpc,rho_0_msun_pc3,t_cross_gyr,viable,n_checkpoints,final_ratio,final_t_gyr,init_ratio,skipped,extended
M3,const_rdiss_1p05,0.3213084475562387,0.0599999999999999,10.0,inf,False,11,0.49885658496786134,0.4256138894252721,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0155613711311615,0.0848528137423856,10.0,0.6269146111140008,True,12,0.35843310011744106,0.8512215262174055,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.0155613711311615,0.1009075698304457,10.0,0.17508542008806463,True,10,0.35518308132495724,0.2128072554122875,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.6849213666863824,0.0599999999999999,10.0,inf,False,10,0.4810124588455404,0.21280471905681436,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0707106781186547,0.0713524269001632,10.0,inf,False,12,0.3854843464755851,0.8512238941537559,0.3954837750238361,no,True
M3,const_rdiss_1p05,1.0,0.0599999999999999,10.0,inf,False,9,0.4032857772661817,0.10640394358937137,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0106583155826692,0.0848528137423856,10.0,inf,False,11,0.3917535769322693,0.4256118852612305,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.4691172785435414,0.0599999999999999,10.0,inf,False,10,0.4236193853460883,0.21280491018118458,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0073001080754565,0.0848528137423856,10.0,inf,False,10,0.40146321793887574,0.2128079955374893,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.0484312542963498,0.0713524269001632,10.0,inf,False,12,0.3770829509394346,0.85121924980119,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0049999999999999,0.0848528137423856,10.0,inf,False,11,0.39396589543932353,0.42561337905320606,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.2200710210280987,0.0599999999999999,10.0,inf,False,11,0.41868911895455074,0.4256152053371692,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0331716008829916,0.0713524269001632,10.0,inf,False,12,0.38216837702306883,0.8512191380620324,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0484312542963498,0.0848528137423856,10.0,0.27356393177219246,True,11,0.3314777170319668,0.4256139377381833,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.0227199382119538,0.0713524269001632,10.0,inf,False,12,0.3747902084046858,0.8512235009428123,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.1507313444906329,0.0599999999999999,10.0,inf,False,12,0.46453691501111843,0.8512209121467473,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0707106781186547,0.1009075698304457,10.0,0.08609741757896769,True,9,0.32862479849325077,0.10640434811796533,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.1507313444906329,0.0713524269001632,10.0,inf,False,12,0.4592325389991636,0.8512222108658843,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0155613711311615,0.0713524269001632,10.0,inf,False,11,0.399693579441336,0.4256114145302356,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.1032391184710001,0.0599999999999999,10.0,inf,False,12,0.4619342842042987,0.8512193561681315,0.4136577988644417,no,True
M3,const_rdiss_1p05,0.0106583155826692,0.0713524269001632,10.0,inf,False,12,0.4244869050575317,0.8512214915751295,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0073001080754565,0.0713524269001632,10.0,inf,False,10,0.4349316563659914,0.2128071366333276,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0049999999999999,0.0713524269001632,10.0,inf,False,10,0.440039801099549,0.212806189721272,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0707106781186547,0.0599999999999999,10.0,inf,False,12,0.41850591251927216,0.851222825164256,0.4136577988644417,no,True
