concentration_offset_sigma,profile_mass_chi2,M200_msun,c200_median,c200_candidate,tau_rt_over_rs,M2D_20pc_msun,M2D_90pc_msun,r200_pc,r_s_pc,rho_s_msun_pc3,r_t_pc
7.5,1.209064862774729e-19,13261688.655660104,13.837156745903071,92.47979547567842,2.160869133503674,424999.9999935567,1167000.0000063805,3560.1615000296374,38.49664114975186,5.212938916606577,83.18620360406618
7.75,3.7751854655495833e-23,10938985.063558487,14.046794255993914,100.01778245108062,2.710432399521118,424999.99999987136,1166999.9999999814,3338.8412205360323,33.382475982899166,6.454759419955338,90.48094448028547
8.0,9.170816230025614e-23,9184769.340194019,14.239844316995937,108.02026570779881,3.393681037820789,425000.0000001021,1166999.9999996782,3149.871532983286,29.160005415130847,7.9654617897363655,98.95975744008108
8.25,7.1574310182823595e-25,7831216.811081025,14.418244709566617,116.52319713634118,4.251877559957337,425000.0000000109,1167000.000000026,2986.8483486123805,25.633079266762103,9.801294533452754,108.98871452695344
8.5,8.394506902702981e-24,6791419.556754655,14.57954482335699,125.52897002605705,5.311065992573808,425000.00000006036,1167000.0000000142,2848.3298228651174,22.69061733139264,12.020829016473819,120.51136605926531
8.75,2.982346556603474e-23,5955272.31784992,14.729904323457305,135.11386766501258,6.6801348309275985,424999.999999887,1167000.0000000366,2726.2810941738594,20.177655641781495,14.712981189747442,134.78946025912734
9.0,5.0116999572309684e-24,5280395.0239255,14.868911707670936,145.30453955841662,8.464727454075133,425000.0000000339,1167000.0000000605,2619.1410930573365,18.025184216659426,17.970895809836776,152.57827170351882
9.25,4.572770936695067e-26,4723830.662100873,14.9988082427078,156.15530854253296,10.905622251682114,425000.00000000175,1166999.9999999923,2523.6833572663395,16.161367684653182,21.91489634368973,176.24977103937
9.5,1.6123712720860424e-24,4270188.576581618,15.11753424970486,167.67988258639406,14.290005708745442,424999.99999999785,1166999.9999999506,2440.16452032803,14.55251806412006,26.672241387772075,207.95556621289683
9.75,9.652645584430523e-28,3888472.0062943175,15.228491809312331,179.95208960813875,19.457429898354345,424999.99999999936,1167000.0000000002,2365.1739245396407,13.143353487531106,32.41998254382668,255.7358791129276
10.0,3.873468972926118e-25,3567505.191943744,15.331291153267205,193.00952028463192,28.3598603592879,425000.00000000757,1166999.9999999802,2298.2201499226317,11.907289062909628,39.352914697662214,337.68905508179313
10.25,9.788296372660821e-24,3293248.579028133,15.427363934710524,206.914880599876,49.43154889007936,424999.99999997363,1166999.9999998882,2237.7501477881992,10.814834299498614,47.71680748097952,534.5940104137729
10.5,0.034469463686523844,3106283.347423452,15.497941579780093,221.44915092705793,99.99999998991287,428373.4611049497,1163369.8706145617,2194.5750946934436,9.910063260600642,57.602684180973945,991.0063259601001
10.75,0.44655981875142375,3014051.422581751,15.534465038524429,236.48102657906944,99.9999998766147,437047.3674393277,1153634.5287867538,2172.636022757228,9.187358724657722,69.12637899116699,918.7358713321871
11.0,1.3056566106926393,2936349.074214052,15.566182584975344,252.4539209364574,99.99999826905709,446383.6250934626,1146780.5714785184,2153.8030348662874,8.531469928757412,82.8998685801253,853.1469781082537
