model_label,model_key,sigma_m_cm2_g,r_s_kpc,rho_0_msun_pc3,t_cross_gyr,viable,n_checkpoints,final_ratio,final_t_gyr,init_ratio,skipped
M1,M1_dark_photon_massive,0.15073134449063294,0.02121320343559642,10.0,inf,False,4,0.6664773961836429,0.0026610576161989674,0.5379682637603689,no
M1,M1_dark_photon_massive,0.15073134449063294,0.025226892457611432,10.0,inf,False,4,0.6299979323570569,0.0026603726556223267,0.5167685061023886,no
M1,M1_dark_photon_massive,0.15073134449063294,0.029999999999999995,10.0,inf,False,4,0.5954315853971303,0.00266071320668787,0.4953604991813157,no
M1,M1_dark_photon_massive,0.15073134449063294,0.03567621345008163,10.0,inf,False,4,0.5620608534133622,0.0026610636484299443,0.47405614661498824,no
M1,M1_dark_photon_massive,0.15073134449063294,0.042426406871192826,10.0,inf,False,4,0.5297117143524187,0.0026611146951473156,0.45315878316353,no
M1,M1_dark_photon_massive,0.15073134449063294,0.050453784915222843,10.0,inf,False,5,0.5224746219624012,0.006650660709981635,0.43294635835480116,no
M1,M1_dark_photon_massive,0.15073134449063294,0.05999999999999997,10.0,inf,False,8,0.3905539557415144,0.05320258542301099,0.4136577988644415,no
M1,M1_dark_photon_massive,0.15073134449063294,0.07135242690016323,10.0,0.02649712369114814,True,7,0.3638551609872526,0.02660452941538914,0.39548377502383614,no
M1,M1_dark_photon_massive,0.15073134449063294,0.08485281374238567,10.0,0.009819146594265348,True,6,0.35539340191884794,0.013302413650509291,0.37856230193353224,no
M1,M1_dark_photon_massive,0.15073134449063294,0.10090756983044573,10.0,0.0036354076198009465,True,5,0.32974982299547256,0.006651804405448583,0.3629788702309376,no
M1,M1_dark_photon_massive,0.15073134449063294,0.11999999999999998,10.0,0.00031923026122612286,True,2,0.3496443145091822,0.0006661931518600641,0.3487702684316665,no
M1,M1_dark_photon_massive,0.22007102102809875,0.014999999999999996,10.0,inf,False,4,0.7146625824212437,0.0026607142613537665,0.5785603721296028,no
M1,M1_dark_photon_massive,0.22007102102809875,0.01783810672504081,10.0,inf,False,4,0.8785703811929467,0.0026606537843361523,0.558657415800948,no
M1,M1_dark_photon_massive,0.22007102102809875,0.02121320343559642,10.0,inf,False,4,0.6663783198037438,0.0026600766249750955,0.5379682637603689,no
M1,M1_dark_photon_massive,0.22007102102809875,0.025226892457611432,10.0,inf,False,4,0.6299840597642303,0.002660436122124298,0.5167685061023886,no
M1,M1_dark_photon_massive,0.22007102102809875,0.029999999999999995,10.0,inf,False,4,0.5955257301317666,0.002661150837776819,0.4953604991813157,no
M1,M1_dark_photon_massive,0.22007102102809875,0.03567621345008163,10.0,inf,False,4,0.5623533059430696,0.002660817147294718,0.47405614661498824,no
M1,M1_dark_photon_massive,0.22007102102809875,0.042426406871192826,10.0,inf,False,4,0.5303690536087491,0.002660758778004227,0.45315878316353,no
M1,M1_dark_photon_massive,0.22007102102809875,0.050453784915222843,10.0,inf,False,5,0.5262230566367786,0.006650470535841157,0.43294635835480116,no
M1,M1_dark_photon_massive,0.22007102102809875,0.05999999999999997,10.0,inf,False,8,0.4023687632013157,0.05320272373906191,0.4136577988644415,no
M1,M1_dark_photon_massive,0.22007102102809875,0.07135242690016323,10.0,0.03863842289055547,True,8,0.3482968408970094,0.053205256865809326,0.39548377502383614,no
M1,M1_dark_photon_massive,0.22007102102809875,0.08485281374238567,10.0,0.014948897277140464,True,7,0.3264174863394456,0.02660737079666581,0.37856230193353224,no
M1,M1_dark_photon_massive,0.22007102102809875,0.10090756983044573,10.0,0.007770124507366093,True,6,0.3253365548539908,0.013301322666600614,0.3629788702309376,no
M1,M1_dark_photon_massive,0.22007102102809875,0.11999999999999998,10.0,0.0004845429297457886,True,2,0.35938456863234053,0.0006654767378326841,0.3487702684316665,no
M1,M1_dark_photon_massive,0.3213084475562387,0.014999999999999996,10.0,inf,False,4,0.7146472348105638,0.002660131238384188,0.5785603721296028,no
M1,M1_dark_photon_massive,0.3213084475562387,0.01783810672504081,10.0,inf,False,4,0.8483501755376767,0.0026608519825840984,0.558657415800948,no
M1,M1_dark_photon_massive,0.3213084475562387,0.02121320343559642,10.0,inf,False,4,0.6663116640330141,0.0026608698664097835,0.5379682637603689,no
M1,M1_dark_photon_massive,0.3213084475562387,0.025226892457611432,10.0,inf,False,4,0.6299750580800744,0.0026604155890048967,0.5167685061023886,no
M1,M1_dark_photon_massive,0.3213084475562387,0.029999999999999995,10.0,inf,False,4,0.5955908485689031,0.002660968474701112,0.4953604991813157,no
M1,M1_dark_photon_massive,0.3213084475562387,0.03567621345008163,10.0,inf,False,4,0.5625547396857479,0.0026608702097375048,0.47405614661498824,no
M1,M1_dark_photon_massive,0.3213084475562387,0.042426406871192826,10.0,inf,False,4,0.5308220277189295,0.00266102876888461,0.45315878316353,no
M1,M1_dark_photon_massive,0.3213084475562387,0.050453784915222843,10.0,inf,False,6,0.5232587555763233,0.013301044607220638,0.43294635835480116,no
M1,M1_dark_photon_massive,0.3213084475562387,0.05999999999999997,10.0,inf,False,7,0.45697899775887896,0.026601407039186425,0.4136577988644415,no
M1,M1_dark_photon_massive,0.3213084475562387,0.07135242690016323,10.0,inf,False,8,0.36632582792903196,0.05320758366931236,0.39548377502383614,no
M1,M1_dark_photon_massive,0.3213084475562387,0.08485281374238567,10.0,0.01398180464227625,True,7,0.35984381448674035,0.026603355751279104,0.37856230193353224,no
M1,M1_dark_photon_massive,0.3213084475562387,0.10090756983044573,10.0,0.006909264730147159,True,6,0.24226413830219126,0.01330247877971921,0.3629788702309376,no
M1,M1_dark_photon_massive,0.3213084475562387,0.11999999999999998,10.0,0.0006810532543820482,True,3,0.2643498628657675,0.0013309161320582809,0.3487702684316665,no
M1,M1_dark_photon_massive,0.46911727854354146,0.014999999999999996,10.0,inf,False,4,0.7146367458394556,0.002660843922978159,0.5785603721296028,no
M1,M1_dark_photon_massive,0.46911727854354146,0.01783810672504081,10.0,inf,False,4,0.8344400238702879,0.0026602255129387817,0.558657415800948,no
M1,M1_dark_photon_massive,0.46911727854354146,0.02121320343559642,10.0,inf,False,4,0.666266458223177,0.0026609999706636556,0.5379682637603689,no
M1,M1_dark_photon_massive,0.46911727854354146,0.025226892457611432,10.0,inf,False,4,0.6299691105098483,0.0026611020762006437,0.5167685061023886,no
M1,M1_dark_photon_massive,0.46911727854354146,0.029999999999999995,10.0,inf,False,4,0.5956356729271972,0.0026607799362415225,0.4953604991813157,no
M1,M1_dark_photon_massive,0.46911727854354146,0.03567621345008163,10.0,inf,False,4,0.5626931772311464,0.0026604253142577913,0.47405614661498824,no
M1,M1_dark_photon_massive,0.46911727854354146,0.042426406871192826,10.0,inf,False,4,0.5311334983408147,0.002660662661237866,0.45315878316353,no
M1,M1_dark_photon_massive,0.46911727854354146,0.050453784915222843,10.0,inf,False,6,0.5267499178174229,0.013301038881821018,0.43294635835480116,no
M1,M1_dark_photon_massive,0.46911727854354146,0.05999999999999997,10.0,inf,False,7,0.46976960037908677,0.026601395165756356,0.4136577988644415,no
M1,M1_dark_photon_massive,0.46911727854354146,0.07135242690016323,10.0,inf,False,7,0.4192239441997396,0.026601138330959024,0.39548377502383614,no
M1,M1_dark_photon_massive,0.46911727854354146,0.08485281374238567,10.0,0.03154077117235879,True,8,0.3294722677153764,0.05320646824511467,0.37856230193353224,no
M1,M1_dark_photon_massive,0.46911727854354146,0.10090756983044573,10.0,0.0101713900599238,True,6,0.34772110066498507,0.013300337795192291,0.3629788702309376,no
M1,M1_dark_photon_massive,0.46911727854354146,0.11999999999999998,10.0,0.0009010287798207503,True,3,0.351477496180162,0.00133052362322805,0.3487702684316665,no
M1,M1_dark_photon_massive,0.6849213666863824,0.014999999999999996,10.0,inf,False,4,0.7146295583785657,0.002660570398708558,0.5785603721296028,no
M1,M1_dark_photon_massive,0.6849213666863824,0.01783810672504081,10.0,inf,False,4,0.8267985925990993,0.0026609085227854374,0.558657415800948,no
M1,M1_dark_photon_massive,0.6849213666863824,0.02121320343559642,10.0,inf,False,4,0.6662356960643158,0.0026603268110045736,0.5379682637603689,no
M1,M1_dark_photon_massive,0.6849213666863824,0.025226892457611432,10.0,inf,False,4,0.6299651277136462,0.0026611589926536466,0.5167685061023886,no
M1,M1_dark_photon_massive,0.6849213666863824,0.029999999999999995,10.0,inf,False,4,0.5956664696119666,0.0026602375331528216,0.4953604991813157,no
M1,M1_dark_photon_massive,0.6849213666863824,0.03567621345008163,10.0,inf,False,4,0.5627880293285303,0.002661173288177527,0.47405614661498824,no
M1,M1_dark_photon_massive,0.6849213666863824,0.042426406871192826,10.0,inf,False,4,0.5313469995901396,0.002661050441714482,0.45315878316353,no
M1,M1_dark_photon_massive,0.6849213666863824,0.050453784915222843,10.0,inf,False,7,0.5239547493573858,0.026601173324216947,0.43294635835480116,no
M1,M1_dark_photon_massive,0.6849213666863824,0.05999999999999997,10.0,inf,False,7,0.437715970359961,0.026600945096033966,0.4136577988644415,no
M1,M1_dark_photon_massive,0.6849213666863824,0.07135242690016323,10.0,inf,False,7,0.4061632266179222,0.02660091158571644,0.39548377502383614,no
M1,M1_dark_photon_massive,0.6849213666863824,0.08485281374238567,10.0,inf,False,7,0.3681862979833314,0.026602041713119803,0.37856230193353224,no
