concentration_offset_sigma,profile_mass_chi2,M200_msun,c200_median,c200_candidate,tau_rt_over_rs,M2D_20pc_msun,M2D_90pc_msun,r200_pc,r_s_pc,rho_s_msun_pc3,r_t_pc
7.25,4.407039981590849e-19,16433987.528715989,13.607328308820641,85.36362775097301,1.7132735462751068,424999.99998621416,1167000.0000038515,3823.9987455486466,44.79658194359083,4.192284652384763,76.74879880749927
7.5,1.0404763653507207e-24,13261688.656407248,13.837156745842186,92.47979547527149,2.1608691333549834,424999.9999999786,1167000.0000000002,3560.1615000964953,38.496641150644194,5.2129389165440925,83.18620360027032
7.75,4.002949409866533e-23,10938985.063557839,14.046794255993978,100.01778245108108,2.7104323995216095,424999.99999987433,1167000.00000008,3338.8412205359664,33.382475982898356,6.454759419955419,90.4809444802997
8.0,2.5527377329547198e-23,9184769.340174427,14.23984431699831,108.02026570781682,3.393681037832653,424999.99999994424,1167000.0000001676,3149.8715329810466,29.160005415105253,7.965461789739996,98.95975744034017
8.25,2.3644951601173486e-24,7831216.811079632,14.418244709566823,116.52319713634284,4.2518775599580785,424999.9999999761,1166999.9999999597,2986.848348612203,25.633079266760216,9.801294533453136,108.98871452696444
8.5,8.032495188305877e-24,6791419.556754433,14.579544823357027,125.52897002605738,5.311065992574254,425000.000000057,1167000.000000032,2848.3298228650865,22.690617331392335,12.020829016473904,120.51136605927381
8.75,1.8720605649339754e-21,5955272.317864352,14.729904323454518,135.113867664987,6.680134830914171,425000.0000004054,1167000.0000015101,2726.2810941760617,20.177655641801614,14.71298118973978,134.7894602589908
9.0,1.1555398285115018e-26,5280395.023924647,14.868911707671126,145.30453955841847,8.464727454077064,425000.00000000006,1166999.9999999958,2619.1410930571956,18.02518421665823,17.970895809837394,152.5782717035435
9.25,2.1814428947758906e-25,4723830.662100728,14.998808242707833,156.15530854253328,10.905622251682779,424999.99999999494,1166999.9999999844,2523.6833572663136,16.161367684652987,21.91489634368984,176.2497710393786
9.5,1.148436157814836e-25,4270188.576581583,15.117534249704867,167.67988258639414,14.290005708747538,424999.99999999884,1166999.999999987,2440.1645203280236,14.552518064120013,26.672241387772107,207.95556621292667
9.75,7.678005609271782e-25,3888472.0062944293,15.2284918093123,179.95208960813838,19.45742989834905,425000.00000000285,1166999.9999999662,2365.1739245396634,13.143353487531261,32.41998254382647,255.73587911286103
10.0,8.738590099686814e-25,3567505.191943438,15.331291153267307,193.0095202846332,28.359860359314364,424999.9999999953,1167000.0000000354,2298.220149922566,11.90728906290921,39.352914697662904,337.6890550820964
10.25,1.884068855684992e-25,3293248.5790285235,15.427363934710382,206.9148805998741,49.43154889007524,425000.00000000716,1166999.9999999895,2237.7501477882874,10.81483429949914,47.71680748097832,534.5940104137543
10.5,0.03446946370921748,3106283.3320016735,15.497941585788851,221.4491510129167,99.99999996847289,428373.4596435669,1163369.865925905,2194.575091061638,9.910063240358202,57.60268424295417,991.0063237233845
10.75,0.44655984453531145,3014051.8262033025,15.534464876067732,236.48102410599256,99.99999380569479,437047.4082287711,1153634.6541283366,2172.6361197388387,9.18735923084064,69.12637698264454,918.7358661747568
11.0,1.3056565989292583,2936348.129906763,15.566182975911216,252.45392727669486,100.0,446383.5403604807,1146780.2628548471,2153.8028039840965,8.531468799942585,82.89987437101286,853.1468799942585
