model,sigma_low_dwarf,sigma_high_cluster,sigma_high_bullet
M2_scalar_phi_massive,5.072457396982645e-07,3.828945719430763e-12,1.1538450285453325e-13
M2_scalar_phi_massive,1.0209768068268513e-06,8.079043899858578e-12,2.3224423994532e-13
M2_scalar_phi_massive,2.055007185863054e-06,1.6281348392782666e-11,4.674578097873242e-13
M2_scalar_phi_massive,4.1362884109716906e-06,3.277085994411085e-11,9.408922433667677e-13
M2_scalar_phi_massive,8.325460824422567e-06,6.596070764953286e-11,1.8938141476992722e-12
M2_scalar_phi_massive,1.6757365794609354e-05,1.3598036787832725e-10,4.186438406414238e-12
M2_scalar_phi_massive,3.3728980809157686e-05,2.6405762424227576e-10,8.454894173346924e-12
M2_scalar_phi_massive,6.788919931499582e-05,5.314913244565309e-10,1.701788734647155e-11
M2_scalar_phi_massive,0.0001366463875593852,1.069777965257218e-09,3.406899342800348e-11
M2_scalar_phi_massive,0.0002750398505422536,2.153233443876234e-09,6.886822000959943e-11
M2_scalar_phi_massive,0.0005535961889474018,4.334095268436407e-09,1.3861694609613797e-10
M2_scalar_phi_massive,0.0011142703132395898,8.723609218055871e-09,2.7516383332840796e-10
M2_scalar_phi_massive,0.002242786991232376,1.7558753058732576e-08,5.538457396862296e-10
M2_scalar_phi_massive,0.004514248857099009,3.534198221458655e-08,1.1147683726817002e-09
M2_scalar_phi_massive,0.009086214082516184,7.113582495506845e-08,2.24378947799376e-09
M2_scalar_phi_massive,0.01828859882713035,1.431812255464318e-07,4.5161505617536746e-09
M2_scalar_phi_massive,0.03681102426403438,2.8819307687613e-07,9.09004217097863e-09
M2_scalar_phi_massive,0.07409269130870563,5.800708105574714e-07,1.829630327552028e-08
M2_scalar_phi_massive,0.14913268552352688,1.167558044447501e-06,3.6826531665082636e-08
M2_scalar_phi_massive,0.3001720884829825,2.3500437573198813e-06,7.412390437875296e-08
M2_scalar_phi_massive,0.6041819899368814,4.730133707340902e-06,1.491955107344533e-07
M2_scalar_phi_massive,1.216088673696869,9.520743951950827e-06,3.002985421487699e-07
M2_scalar_phi_massive,2.447725498153806,1.916321419369837e-05,6.044365140261007e-07
M2_scalar_phi_massive,4.9267460867789845,3.8571437283356044e-05,1.216600976061451e-06
M2_scalar_phi_massive,9.916482473994657,7.763602488945213e-05,2.4487566528845765e-06
M2_scalar_phi_massive,19.95975090352866,0.00015626465553661108,4.92882157994132e-06
M2_scalar_phi_massive,40.17469472423007,0.00031452721342631877,9.92065999627947e-06
M2_scalar_phi_massive,80.86303802016599,0.0006330757754913273,1.9968159359290835e-05
M2_scalar_phi_massive,162.75994037378766,0.0012742456627138023,4.019161914102168e-05
M2_scalar_phi_massive,327.6008277585691,0.002564783035150565,8.089710323877919e-05
M2_scalar_phi_massive,659.3901552287825,0.005162357785379077,0.00016282850634763755
M2_scalar_phi_massive,1327.210861423914,0.010390718255316076,0.0003277388363480136
M2_scalar_phi_massive,2671.390612543253,0.02091428574887719,0.000659667936899358
M2_scalar_phi_massive,5376.935958109868,0.04209596850168677,0.0013277699763081274
M2_scalar_phi_massive,10822.618063365222,0.08473014978243479,0.002672515990805619
M2_scalar_phi_massive,21783.607366350898,0.17054360637565957,0.005379201103018655
M2_scalar_phi_massive,43845.726340248075,0.3432676768576359,0.010827177313911812
M2_scalar_phi_massive,88252.03677116978,0.6909241599810321,0.021792784159175908
M2_scalar_phi_massive,177632.40900198155,1.390682045031224,0.04386419725464346
M2_scalar_phi_massive,357535.91511618346,2.799144482695935,0.08828921475754341
M2_scalar_phi_massive,719643.0612869818,5.63407707966144,0.1777072403092586
M2_scalar_phi_massive,1448487.0295903184,11.340187952353876,0.35768653447712656
M2_scalar_phi_massive,2915493.5102677075,22.82536446988752,0.7199462257340046
M2_scalar_phi_massive,5868262.700852244,45.942559803434385,1.4490972345557627
M2_scalar_phi_massive,11811553.345921071,92.47251250146405,2.9167217218984307
M2_scalar_phi_massive,23774121.840741433,186.12732083104825,5.870734827261035
M2_scalar_phi_massive,47852204.76471877,374.63434941486173,11.816529205803874
M2_scalar_phi_massive,96316217.95260304,754.0585397932925,23.78413717874582
M2_scalar_phi_massive,193863874.95217386,1517.7580014306916,47.872363490588185
M2_scalar_phi_massive,390206372.4093385,3054.9211093589383,96.35679314122883
M2_scalar_phi_massive,785401679.9489686,6148.900533292923,193.94554409846242
M2_scalar_phi_massive,1580845015.5692642,12376.41707096793,390.370754872646
M2_scalar_phi_massive,3181901728.823071,24911.07128586368,785.7325465671599
M2_scalar_phi_massive,6404485267.166743,50140.63998094198,1581.5109790597178
M2_scalar_phi_massive,12890854285.599548,100922.34688939624,3183.242170397503
