v_km_s,M1_dark_photon_massive_sigma_cm2g,M2_scalar_phi_massive_sigma_cm2g,M3_massless_control_sigma_cm2g,M1_dark_photon_massive_r_diss,M2_scalar_phi_massive_r_diss,M3_massless_control_r_diss
557.4823932450256,0.0848008212994226,0.06787410582461569,0.19775431300187546,1.0440260114792206,1.0223780940825729,1.05
573.8441648302393,0.07577168927951683,0.06069446345680901,0.17638337010743468,1.0443420394831686,1.0234125868578088,1.05
590.6861445308137,0.06770327024306708,0.05427345045350427,0.15732166243651396,1.044642383409654,1.0244327567060076,1.05
608.0224261649427,0.060493416922357914,0.04853100011828264,0.14031969706440564,1.0449277101308505,1.0254363221913854,1.05
625.8675171958728,0.05405083449589863,0.043395485577823016,0.12515493316748305,1.045198670566167,1.0264212567717192,1.05
644.236350872137,0.04829392852297169,0.03880283133055685,0.11162887083643054,1.045455898520016,1.0273857836430185,1.05
663.1442987240953,0.04314977507345445,0.03469571818692977,0.09956445429432101,1.0457000097658673,1.0283283679455588,1.05
682.6071834272393,0.03855320010390299,0.03102287179947667,0.0888037555688413,1.0459316013494355,1.0292477068412476,1.05
702.6412920430313,0.03444595650176323,0.02773842600791531,0.07920590833357766,1.0461512510858895,1.0301427179327105,1.05
723.2633896483534,0.03077598844547471,0.024801353144056425,0.07064526490318526,1.0463595172280085,1.0310125264503334,1.05
744.4907333649699,0.027496773824459593,0.022174954264720246,0.06300975228415992,1.04655693828414,1.03185645158706,1.05
766.3410868007462,0.024566736443255018,0.019826403018087923,0.056199405784927006,1.046744032966677,1.0326739923138506,1.05
788.8327349147113,0.02194872061060057,0.01772633750899915,0.050125061010056246,1.0469213002535398,1.0334648129627912,1.05
811.9844993184009,0.019609521498095923,0.01584849511969125,0.04470718713391224,1.047089219546804,1.0342287288209793,1.05
835.8157540262836,0.017519465353900466,0.014169385771580797,0.039874846196017145,1.0472482509141776,1.0349656919372483,1.05
860.3464416684509,0.015652034283623766,0.012667999587381965,0.03556476480795848,1.0473988354004775,1.0356757773060643,1.05
885.5970901791447,0.013983530870898672,0.011325545336929779,0.03172050613135104,1.0475413953976005,1.0363591695587764,1.05
911.5888299750818,0.012492778411151543,0.01012521642971975,0.028291731297362583,1.0476763350627247,1.037016150261979,1.05
938.3434116379495,0.011160852980058228,0.009051981557032534,0.02523354060776032,1.0478040407756157,1.037647085896013,1.05
965.8832241158708,0.00997084395871195,0.008092397390746443,0.022505885900615474,1.0479248816269575,1.0382524165634568,1.05
994.2313134590756,0.008907639995648722,0.007234441018279078,0.020073046394347285,1.0480392099305784,1.0388326454576833,1.05
1023.4114021054538,0.0079577377060653,0.006467360036880239,0.017903161153857115,1.0481473617533092,1.039388329104896,1.05
1053.4479087321176,0.007109070694835633,0.0057815384487100935,0.015967812062941032,1.0482496574569944,1.0399200683792753,1.05
1084.3659686896108,0.006350856745874452,0.005168376693456133,0.01424165184765415,1.0483464022478883,1.040428500279649,1.05
1116.1914550358322,0.005673461249223427,0.004620184330070084,0.012702072284469337,1.0484378867293025,1.0409142904471818,1.05
1148.9510001873098,0.005068275141810841,0.004130084035682784,0.011328908252614418,1.0485243874539518,1.0413781263966715,1.05
1182.6720182059094,0.004527605820734339,0.0036919257298100353,0.010104173758770775,1.0486061674729512,1.0418207114288616,1.05
1217.382727739662,0.004044579651425994,0.0033002097573102537,0.009011826480483143,1.0486834768788829,1.0422427591875156,1.05
1253.1121756368732,0.0036130548392392776,0.002950018175742493,0.00803755774764664,1.048756553340757,1.0426449888225746,1.05
1289.8902612533093,0.0032275435636779726,0.002636953293175882,0.007168605214165212,1.048825622629055,1.0430281207193681,1.05
1327.7477614727686,0.0028831423913142995,0.0023570826923587375,0.006393585768676512,1.0488908991293626,1.0433928727533563,1.05
1366.7163564620073,0.0025754700878807255,0.0021068900575698995,0.005702346497982195,1.0489525863433888,1.0437399570300958,1.05
1406.8286561815398,0.0023006120433831934,0.0018832311924398722,0.005085831752978498,1.049010877376411,1.0440700770708917,1.05
1448.1182276745344,0.0020550706075432652,0.0016832946814291146,0.0045359645775307844,1.0490659554104096,1.0443839254058136,1.05
1490.6196231565998,0.0018357207074848007,0.001504566705281336,0.004045540948636942,1.049117994162342,1.0446821815372813,1.05
1534.3684089300132,0.0016397701862731057,0.001344799572339629,0.0036081354438296806,1.049167158327179,1.0449655102392086,1.05
1579.4011951465393,0.0014647243605321399,0.001201983573760693,0.003218017101273463,1.049213604005462,1.0452345601586188,1.05
1625.755666443795,0.0013083543486561559,0.0010743218119549916,0.002870074371367687,1.0492574791152707,1.045489962688692,1.05
1673.470613480748,0.0011686687687688284,0.0009602076885299483,0.0025597481776224824,1.0492989237885957,1.0457323310842697,1.05
1722.5859653987875,0.0010438884481631168,0.0008582047710739913,0.0022829722106781193,1.0493380707521958,1.045962259792946,1.05
1773.1428232354833,0.0009324238240165899,0.0007670287877012455,0.002036119673984929,1.049375045693106,1.0461803239769163,1.05
1825.1834943190443,0.0008328547491975504,0.0006855315247444127,0.0018159557840821607,1.0494099676090156,1.0463870792027743,1.05
1878.7515276722065,0.0007439124473867702,0.0006126864266651598,0.0016195954037182935,1.0494429491438013,1.046583061278372,1.05
1933.891750455232,0.0006644633889199923,0.0005475757184391506,0.0014444652532242584,1.0494740969085297,1.0467687862177086,1.05
1990.650305478458,0.0005934948830510559,0.000489378889629737,0.00128827020546552,1.0495035117882925,1.0469447503165652,1.05
2049.074689815848,0.0005301022040498595,0.00043736239632416316,0.0011489632231406885,1.0495312892352573,1.0471114303232443,1.05
2109.2137945517957,0.0004734770879579424,0.00039087045227961814,0.0010247185448639842,1.0495575195483389,1.047269283690323,1.05
2171.117945694505,0.0004228974541712296,0.0003493167942009513,0.0009139077689884178,1.0495822881399175,1.0474187488947597,1.05
2234.8389462901214,0.000377718221523897,0.0003121773182161243,0.0008150785220536043,1.0496056757900325,1.0475602458150235,1.05
2300.430119772919,0.0003373631024043157,0.0002789834954795093,0.000726935432571437,1.0496277588884941,1.0476941761551433,1.05
2367.9463545877593,0.00030131727081906764,0.00024931648455219266,0.0006483231610382327,1.049648609665358,1.0478209239067018,1.05
2437.444150122222,0.00026912081138982943,0.00022280186690260435,0.0005782112639769853,1.0496682964102013,1.047940855840825,1.05
2508.981663986783,0.00024036286616069868,0.00019910493964835362,0.0005156806938211697,1.049686883680645,1.0480543220231653,1.05
2582.6187606826775,0.0002146764049347744,0.00017792650661732135,0.00045991175786533204,1.0497044325005571,1.0481616563457243,1.05
2658.4170616980873,0.00019173355276049295,0.00015899911502951613,0.00041017337860838326,1.0497210005483648,1.0482631770701363,1.05
2736.4399970746717,0.00017124141524985608,0.00014208369066799923,0.0003658135148523388,1.0497366423358996,1.0483591873777383,1.05
2816.752858487498,0.0001529383487217585,0.00012696652938672925,0.00032625061811570867,1.049751409378185,1.0484499759223747,1.05
2899.4228538828784,0.00013659062780360778,0.00011345660725714217,0.0002909660124751345,1.0497653503545694,1.0485358173824542,1.05
2984.519163719751,0.00012198946816485302,0.00010138317563926247,0.00025949709803905395,1.0497785112615958,1.0486169730092794,1.05
3072.112998861759,0.00010894836656038953,9.059361102649183e-05,0.00023143128904088683,1.0497909355579849,1.0486936911691294,1.05
3162.2776601683795,9.730072438723002e-05,8.095149270045184e-05,0.00020640060715800974,1.0498026643021001,1.0487662078769646,1.05
