model,sigma_low_dwarf,rdiss_eff_b1938,rdiss_eff_cluster
M2_scalar_phi_massive,80.86303802016599,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,162.75994037378766,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,327.6008277585691,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,659.3901552287825,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,1327.210861423914,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,2671.390612543253,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,5376.935958109868,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,10822.618063365222,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,21783.607366350898,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,43845.726340248075,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,88252.03677116978,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,177632.40900198155,1.0000000000000697,1.006850154675404
M2_scalar_phi_massive,357535.91511618346,1.0000000000000695,1.0068501546754043
M2_scalar_phi_massive,719643.0612869818,1.0000000000000695,1.0068501546754045
M2_scalar_phi_massive,1448487.0295903184,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,2915493.5102677075,1.0000000000000695,1.0068501546754043
M2_scalar_phi_massive,5868262.700852244,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,11811553.345921071,1.0000000000000697,1.0068501546754045
M2_scalar_phi_massive,23774121.840741433,1.0000000000000697,1.006850154675404
M2_scalar_phi_massive,47852204.76471877,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,96316217.95260304,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,193863874.95217386,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,390206372.4093385,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,785401679.9489686,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,1580845015.5692642,1.00000000000007,1.0068501546754043
M2_scalar_phi_massive,3181901728.823071,1.0000000000000697,1.0068501546754045
