point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M2_eta0p03_sigma10_vstar20,M2_scalar_phi_massive,0.03,0.029999999999999995,True,True,10.0,9.999999999999982,20.0,20.0,0.0016853424895570202,1.8751964154751633e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar20\M2_eta0p03_sigma10_vstar20,0.5000348711617854,22.006916055097786,1.1003458027548894,6.493680156594302e-29,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar20\M2_eta0p03_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M2_eta0p03_sigma10_vstar500,M2_scalar_phi_massive,0.03,0.030000000000000002,True,True,10.0,10.0,500.0,500.0,0.09568050600968174,0.06653682523431935,4.1724377102010694e-08,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar500\M2_eta0p03_sigma10_vstar500,0.5001630437465465,21.53441810278784,0.04306883620557568,0.0,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar500\M2_eta0p03_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001950543964471,0.4000434409823772,0.3638783382356144,1.7653687843987245
M2_eta0p03_sigma1_vstar20,M2_scalar_phi_massive,0.03,0.03,True,True,1.0,0.9999999999999986,20.0,20.0,0.003630960324086342,4.039988208123133e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma1_vstar20\M2_eta0p03_sigma1_vstar20,0.5000081780650953,21.214686931873207,1.0607343465936603,6.493680156594301e-30,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma1_vstar20\M2_eta0p03_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002335723926038,0.4500001307328256,0.3645137691333821,1.8988078244652635
M2_eta0p03_sigma1_vstar500,M2_scalar_phi_massive,0.03,0.03,True,True,1.0,0.9999999999999999,500.0,500.0,0.20613740130706246,0.14334924444940644,4.1724377102010694e-08,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma1_vstar500\M2_eta0p03_sigma1_vstar500,0.5000705800512217,21.389036494274766,0.042778072988549534,0.0,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma1_vstar500\M2_eta0p03_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.0206429613405901,0.5000705800512217,0.3610687609027238,1.8988078244652635
M2_eta0p1_sigma0p1_vstar20,M2_scalar_phi_massive,0.1,0.1,True,True,0.1,0.09999999999999999,20.0,20.0,0.017455836557389245,1.9422237524041944e-05,2.225300112107237e-10,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma0p1_vstar20\M2_eta0p1_sigma0p1_vstar20,0.5001515294873228,21.662871499114672,1.0831435749557337,2.267768380890341e-30,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma0p1_vstar20\M2_eta0p1_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041274844784,0.0500525408886057,0.3675783543702763,2.0423331295497618
M2_eta0p1_sigma0p1_vstar500,M2_scalar_phi_massive,0.1,0.1,True,True,0.1,0.09999999999999996,500.0,500.0,0.9910052615313223,0.6891512873701604,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma0p1_vstar500\M2_eta0p1_sigma0p1_vstar500,0.5000049439852337,21.72243291544884,0.04344486583089768,0.0,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma0p1_vstar500\M2_eta0p1_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267182,0.0500318003656805,0.3675061652701863,2.0423331295497618
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.1,0.1,True,True,10.0,9.999999999999988,20.0,20.0,0.0037607459822766127,4.184394227983493e-06,2.2253001121072369e-10,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,0.5000348711617854,22.006916055097786,1.1003458027548894,2.164560052198102e-28,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M2_eta0p1_sigma10_vstar500,M2_scalar_phi_massive,0.1,0.09999999999999999,True,True,10.0,9.999999999999995,500.0,500.0,0.21350561134472004,0.14847314401904055,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar500\M2_eta0p1_sigma10_vstar500,0.5000086866028133,21.534263739023974,0.04306852747804795,0.0,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar500\M2_eta0p1_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001966692141757,0.4000078783976579,0.3638770855712502,1.7653687843987245
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.1,0.1,True,True,1.0,0.9999999999999991,20.0,20.0,0.008102281604614767,9.015004081536823e-06,2.225300112107237e-10,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,0.5000162297568326,21.214683491317345,1.0607341745658672,2.164560052198102e-29,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002354072340972,0.4500984600283625,0.3645150713978708,1.8988078244652635
M2_eta0p1_sigma1_vstar500,M2_scalar_phi_massive,0.1,0.09999999999999999,True,True,1.0,0.9999999999999989,500.0,500.0,0.4599838955975297,0.31987569201272076,1.3908125700670229e-07,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma1_vstar500\M2_eta0p1_sigma1_vstar500,0.5000341163747796,21.38905093245115,0.042778101864902295,0.0,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma1_vstar500\M2_eta0p1_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.0206458861723549,0.5000341163747796,0.3610685409704353,1.8988078244652635
M2_eta0p3_sigma0p1_vstar20,M2_scalar_phi_massive,0.3,0.29999999999999993,True,False,0.1,0.09999999999999991,20.0,20.0,0.036309603240863415,4.039988208123133e-05,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma0p1_vstar20\M2_eta0p3_sigma0p1_vstar20,0.5000072804240082,21.66291227403544,1.0831456137017719,6.80330514274546e-30,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma0p1_vstar20\M2_eta0p3_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041275015356,0.0500525414250469,0.3675783543714718,2.0423331295497618
M2_eta0p3_sigma0p1_vstar500,M2_scalar_phi_massive,0.3,0.3,True,False,0.1,0.10000000000000002,500.0,500.0,2.0613740130706244,1.4334924444940642,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma0p1_vstar500\M2_eta0p3_sigma0p1_vstar500,0.5000531081624837,21.722432204118952,0.0434448644082379,0.0,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma0p1_vstar500\M2_eta0p3_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267182,0.0500318003656803,0.3675061652701863,2.0423331295497618
M2_eta0p3_sigma10_vstar20,M2_scalar_phi_massive,0.3,0.3,True,False,10.0,9.99999999999999,20.0,20.0,0.007822666880341025,8.703890742900225e-06,6.67590033632171e-10,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar20\M2_eta0p3_sigma10_vstar20,0.5000348711617854,22.006916055097786,1.1003458027548894,6.493680156594302e-28,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar20\M2_eta0p3_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M2_eta0p3_sigma10_vstar500,M2_scalar_phi_massive,0.3,0.3,True,False,10.0,9.999999999999995,500.0,500.0,0.4441095682889592,0.3088365850316617,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar500\M2_eta0p3_sigma10_vstar500,0.5000088346223986,21.534279862075476,0.043068559724150954,0.0,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar500\M2_eta0p3_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001963010428173,0.4000167651289462,0.3638773707190408,1.7653687843987245
M2_eta0p3_sigma1_vstar20,M2_scalar_phi_massive,0.3,0.3,True,False,1.0,0.999999999999999,20.0,20.0,0.0168534248955702,1.875196415475163e-05,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma1_vstar20\M2_eta0p3_sigma1_vstar20,0.5000162297568326,21.214683491317345,1.0607341745658672,6.493680156594305e-29,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma1_vstar20\M2_eta0p3_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002354072340972,0.4500984600283625,0.3645150713978708,1.8988078244652635
M2_eta0p3_sigma1_vstar500,M2_scalar_phi_massive,0.3,0.3,True,False,1.0,0.9999999999999997,500.0,500.0,0.9568050600968174,0.6653682523431935,4.1724377102010694e-07,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma1_vstar500\M2_eta0p3_sigma1_vstar500,0.5000093755778492,21.389060557571675,0.04277812111514335,0.0,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma1_vstar500\M2_eta0p3_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.020647813577732,0.5000093755778492,0.361068396048036,1.8988078244652635
